1,above,trên,"prep, adv",
2,accept,chấp nhận,v,
3,accident,tai nạn,n,
4,accompany, đi kèm,v,
5,action,hành động,n,
6,advertisement,quảng cáo,n,
7,ads (short form),quảng cáo,n,
8,Africa,châu phi,n,
9,afterwards,sau đó,,
10,again,lại,,
11,against,chống lại,,
12,agree,đồng ý,v,
13,allergy ,dị ứng,n,
14,almost,hầu như,,
15,alright,được,,
16,another,1 (cái) khác,,
17,antibiotic,kháng sinh,n,
18,apartment,căn hộ,n,
19,appear,xuất hiện,v,
20,appetizers,món khai vị,n,
21,appointment,buổi hẹn (thường dành cho công việc),n,
22,approach,tiếp cận,v,
23,approximately,xấp xỉ,,
24,assist,trợ giúp,v,
25,avenue,đại lộ,n,
26,back,trở lại. Lưng,"v, n",
27,backpack,ba lô,n,
28,bad,"tệ, dở",adj,
29,bank,ngân hàng,n,
30,basket,rổ,n,
31,basketball,bóng rổ,n,
32,bath,tắm,"v, n",
33,bathroom,phòng tắm,n,
34,batteries,pin,n,
35,beach,pin,n,
36,bean,đậu,n,
37,beard,râu,n,
38,become,"trở nên, trở thành",v,
39,bedroom,phòng ngủ,n,
40,beef,thịt bò,n,
41,before, trước,,
42,begin, bắt đầu,v,
43,belt, thắt lưng,n,
44,beside,bênh cạnh,,
45,bet,đánh cuộc,"v, n",
46,better,tốt hơn,,
47,between,giữa,,
48,bicycle,xe đạp,n,
49,bill, hóa đơn,n,
50,bird,chim,n,
51,bite,cắn,v,
52,blanket,chăn,n,
53,blind,mù,"adj, n",
54,blood,mù,n,
55,blouse,áo cánh,n,
56,boat,thuyền,n,
57,body,thân thể,n,
58,borrow,mượn,v,
59,bottle,chai,n,
60,bowl,"bát, tô",n,
61,bracelet,vòng tay,n,
62,brain,óc,n,
63,bread,bánh mì,n,
64,breakfast,ăn sáng,n,
65,breath,thở,v,
66,bridge,cầu,n,
67,bring,mang,v,
68,broke,"làm vỡ, nghèo","v, adj",
69,buddhist,phật tử,n,
70,build,xây dựng,v,
71,burn,đôt cháy,v,
72,building,tòa nhà,n,
73,busy,bận rộn,adj,
74,butter,bơ,n,
75,cabbage,cái bắp,n,
76,calculator,máy tính bỏ túi,n,
77,come,đi tới,v,
78,cancer,ung thư,n,
79,candle,nến,n,
80,candy ,kẹo,n,
81,card ,thẻ,n,
82,care,sự quan tâm,"v, n",
83,careful,cẩn thận,adj,
84,carpet,thảm,n,
85,capital,thủ đô,n,
86,carry ,mang,v,
87,cash,tiền mặt,n,
88,cassette,cát xét,n,
89,catch,bắt,v,
90,center,trung tâm,n,
91,cents,tiền xu,n,
92,certainly,dĩ nhiên,,
93,chair,ghế,n,
94,chance,cơ hội,n,
95,channel,kênh,n,
96,character,tính tình,n,
97,check,"phiếu tính tiền, phiếu nhà băng",n,
98,choose,chọn,v,
99,christian,thiên chúa giáo,n,
100,clean,"sạch, lau chùi",v,
101,climb,leo trèo,v,
102,close,đóng,v,
103,clothes,quần áo,n,
104,cloudy,có mây,adj,
105,coat,áo choàng,n,
106,cold,lạnh,adj,
107,college,"đại học, cao đẳng",n,
108,comb,lược,n,
109,comfort,"an nhàn, thoải mái","v, n",
110,comfortable,"tiện nghi, thoải mái",adj,
111,common,chung,"adj, n",
112,complain,khiếu nại,"v, n",
113,complete,đầy đủ,,
114,complicated,phức tạp,adj,
115,confirm,xác nhận,v,
116,confused,bối rối,adj,
117,consider,xem xét,v,
118,container,thùng chứa,n,
119,continent,lục địa,n,
120,convenient,tiện lợi,adj,
121,cook,"đầu bếp, nấu ăn","v, n",
122,corn,bắp,n,
123,cord,dây,n,
124,correct,"đúng, sửa",v,
125,cotton,bông,n,
126,couch,"trường kỷ, ghế",n,
127,cough,ho,v,
128,count,đếm,v,
129,country,đất nước,n,
130,course,khóa học,n,
131,cover,"che, bao bọc","v, n",
132,cow,bò,n,
133,co-worker,đồng nghiệp,n,
134,crash,"đâm, đụng",v,
135,create,tạo ra,v,
136,crowd,đám đông,n,
137,custom,phong tục,n,
138,customer,khách hàng,n,
139,cut,cắt,v,
140,dance,"khiêu vũ, nhảy",v,
141,dangerous,nguy hiểm,adj,
142,dark,tối,adj,
143,decide,quyết đinh,v,
144,dead,chết,"adj, n",
145,deep,sâu,adj,
146,definitely,dứt khoát,,
147,degree,"độ, bằng cấp",n,
148,delete,xóa,v,
149,delicous,ngon,adj,
150,deliver,giao hàng,v,
151,dentist,nha sĩ,n,
152,dessert,món tráng miệng,n,
153,detergent,xà bông giặt đồ,n,
154,develop,phát triển,v,
155,dictionary,từ điển,n,
156,different,khác,adj,
157,difficult,khó,adj,
158,dinner,bữa tối,n,
159,dirty,dơ,adj,
160,disappoint,làm thất vọng,v,
161,disappointed,thất vọng,adj,
162,discount,giảm giá,"v, n",
163,disturb,quấy rối,v,
164,divide,chia,v,
165,divorce,ly dị,v,
166,dollar,đô la,n,
167,done,đã làm,,
168,down,xuống,,
169,downstairs,dưới lầu,,
170,downtown,phố,n,
171,drag,"lôi, kéo",v,
172,draw,vẽ,v,
173,dream,mơ,"v, n",
174,dress,"váy đầm, mặc","v, n",
175,drink,"uống, uống rượu","v, n",
176,drunk,say rươu,adj,
177,dry,khô,v,
178,dryer,máy xấy,n,
179,duck,vịt,n,
180,during,trong lúc,,
181,ear,tai,n,
182,earlier,sớm hơn,,
183,early,sớm hơn,,
184,earrings,hoa tai,,
185,east,phía đông,,
186,easy,dễ,adj,
187,eat,ăn,v,
188,effort,nỗ lực,n,
189,egg,trứng,n,
190,electric,điện,n,
191,elevator,thang máy,n,
192,embarrassed,lúng túng,adj,
193,embassy,đại sứ quán,n,
194,employee,nhân viên,n,
195,empty,trống rỗng,adj,
196,enough,đủ,adj,
197,enter,đi vào,v,
198,entrance,lối vào,n,
199,envelope,phong bì,n,
200,equal,bằng,"adj, v, n",
201,europe,châu âu,n,
202,evening,buổi tối,n,
203,every,mỗi,,
204,everybody,mọi người,,
205,everyday,mỗi ngày,,
206,everything,mọi thứ,,
207,example,thí dụ,n,
208,excellent,xuất sắc,adj,
209,except,ngoại trừ,v,
210,excuse,lời xin lỗi,"v, n",
211,exercise,bài tập,"v, n",
212,exit,lối ra,"v, n",
213,expensive,đắt,adj,
214,expert,chuyên gia,n,
215,extremly,cực kỳ,,
216,face,mặt,n,
217,fact,sự thật,n,
218,factory,xưởng,n,
219,fake,giả mạo,"adj, v, n",
220,fail,rơi,v,
221,family,gia đình,n,
222,famous,nổi tiếng,adj,
223,far,xa,adj,
224,farm,nông trại,n,
225,fashion,thời trang,n,
226,fat,"mập, mỡ","adj, n",
227,february,tháng hai,n,
228,feed,cho ăn,v,
229,feel,cảm thấy,v,
230,fever,sốt,n,
231,field,cánh đồng,n,
232,find,tìm thấy,v,
233,fight,"chiến đấu, đánh","v, n",
234,finish,kết thúc,"v, n",
235,fire,"lửa, bắn","v, n",
236,fish,"cá, câu cá","v, n",
237,finger,ngón tay,n,
238,fit,vừa,v,
239,fix,sửa,v,
240,flag,lá cờ,n,
241,flat,phẳng,adj,
242,flight,chuyến bay,n,
243,floor,sàn nhà,n,
244,flower,hoa,n,
245,fluent,trôi chảy,adj,
246,fly,bay,v,
247,fog,sương mù,n,
248,food,thức ăn,n,
249,fool,người ngu,"adj, n",
250,foot,bàn chân,n,
251,foreign,nước ngoài,n,
252,forget,quên,v,
253,fork,nĩa,n,
254,forward,phía trước,,
255,france,nước pháp,n,
256,free,rảnh,adj,
257,free-time,thời gian rảnh,n,
258,Friday,thứ sáu,n,
259,fried,đồ chiên,adj,
260,from,từ (nơi nào đó),,
261,front,phía trước,"adj, n",
262,fruit,trái cây,n,
263,fry,chiên,v,
264,full,đầy,adj,
265,funny,khôi hài,adj,
266,future,tương lai,n,
267,game,trò chơi,n,
268,garbage,rác,n,
269,garden,vườn,n,
270,gas,xăng,n,
271,generally,"chung, tổng quát",adv,
272,germany,nước đức,n,
273,get,lấy,verb,
274,gift,món quà,n,
275,girl,cô gái,n,
276,give,cho,verb,
277,glad,vui lòng,adj,
278,glass,"thủy tinh, ly",n,
279,glove,găng tay,n,
280,go,đi,verb,
281,goal,mục tiêu,n,
282,goat,con dê,noun,
283,gold,vàng,noun,
284,good,tốt,adj,
285,goodbye,tạm biệt,verb,
286,government,chính phủ,noun,
287,grade,"mức, độ, điểm","noun, verb",
288,graduate,tốt nghiệp,verb,
289,grandfather,ông nội,noun,
290,grass,cỏ,noun,
291,grateful,biết ơn,adj,
292,gray,xám,noun,
293,green,xanh lục,noun,
294,ground,mặt đất,noun,
295,group,nhóm,noun,
296,grow,mọc,verb,
297,guarantee,bảo đảm,verb,
298,guest,khách mời,noun,
299,gum,kẹo cao su,noun,
300,gun,súng,noun,
301,gym,phòng tập thể dục,noun,
302,hair,"tóc, lông",n,
303,ham,thịt heo,n,
304,hamburger,bánh burger,n,
305,hand,bàn tay,n,
306,happy,"hạnh phúc, vui",adj,
307,hat,mũ,n,
308,have,có,v,
309,head,đầu,n,
310,headache,nhức đầu,n,
311,headphones,tai nghe,n,
312,hear,nghe thấy,v,
313,heart,trái tim,n,
314,heat,"nóng, làm nóng, sưởi","v, n",
315,heavy,nặng,v,
316,help,giúp đỡ,v,
317,here,"ở đây, chổ này",,
318,high,cao,adj,
319,highway,xa lộ,n,
320,hike,đi bộ đường dài,v,
321,hill,đồi,n,
322,history,lịch sử,n,
323,hit,đánh,v,
324,hobby,thú vui,n,
325,hold,"nắm, giữ",v,
326,hole,lỗ,n,
327,home,nhà,n,
328,homework,bài tập về nhà,n,
329,hope,hy vọng,"v, n",
330,horse,ngựa,n,
331,hospital,bệnh viện,n,
332,hot,nóng,adj,
333,hotel,khách sạn,n,
334,hour,giờ,n,
335,house,nhà,n,
336,hug,ôm,v,
337,hungry,đói,adj,
338,hurt,"đau, làm đau","adj, v",
339,husband,chồng,n,
340,ice,nước đá,n,
341,idea,ý tưởng,n,
342,imagine,tưởng tượngg,v,
343,immediately,ngay lập tức,,
344,immigration,di trú,n,
345,immigrant,người di trú,n,
346,important,quan trọng,adj,
347,impossible,không thể,,
348,impressive,ấn tượng,,
349,impress,gây ấn tượng,v,
350,inch,dđơn vị đo inch 1inch = 2.54cm,n,
351,include,bao gồm,v,
352,individual,"cá nhân, cá thể",n,
353,information,thông tin,n,
354,inside,bên trong,,
355,insomnia,chứng mất ngủ,n,
356,insurance,bảo hiểm,n,
357,interesting,thú vị,adj,
358,interupt,chặn ngang,v,
359,introduce,giới thiệu,v,
360,invent,phát minh,v,
361,invention,phát minh,n,
362,iron,sắt,n,
363,island,hòn đảo,n,
364,jail,nhà tù,n,
365,January,tháng 1,n,
366,Japan,nước Nhật,n,
367,Japanese,"người Nhật, thuộc về Nhật",n,
368,jeans,quần jean,n,
369,Jewish,Do Thái,n,
370,job,việc làm,n,
371,joke,đùa,"v, n",
372,July,tháng 7,n,
373,jump,nhảy,v,
374,June,tháng 6,v,
375,just,chỉ,,
376,keep,giữ,v,
377,key,chìa khóa,n,
378,kill,giết,v,
379,kilometer,cây số,n,
380,king,vua,n,
381,kiss,hôn,"v, n",
382,kitchen,bếp,n,
383,knife,dao,n,
384,know,biết,v,
385,knowledge,kiến thức,n,
386,lack,thiếu,,
387,lake,hồ,n,
388,lamp,đèn,n,
389,language,ngôn ngữ,n,
390,laptop,máy tính xách tay,n,
391,large,rộng,adj,
392,last,cuối cùng,,
393,late,trễ,adj,
394,later,sau,,
395,laugh,cười,v,
396,laundromat,tiệm cho thuê máy giặt,n,
397,laundry,đồ cần giặt,n,
398,law,luật,n,
399,lawyer,luật sư,n,
400,lay,đặt (xuống),v,
401,lazy,lười,adj,
402,learn,học,v,
403,leather,da,n,
404,leave,"ra về, đi khỏi",v,
405,leg,chân,n,
406,lend,cho mượn,v,
407,less,ít hơn,,
408,let,cho phép,v,
409,letter,lá thứ,n,
410,library,thư viện,n,
411,license,giấy phép,n,
412,lie,"nằm, nói dối",v,
413,life,cuộc sống,n,
414,light,"đèn, ánh sáng","v, n",
415,liter,1 lít,n,
416,litter,xả rác,v,
417,little,"nhỏ, ít",adj,
418,live,sống,v,
419,lock,khóa,v,
420,long,dài,adj,
421,look,nhìn,v,
422,lose,"thua, mất",,
423,lotion,kem (dưỡng da),n,
424,lots,nhìu,,
425,louder,"to tiếng hơn, to hơn",,
426,love,yêu,"v, n",
427,low,thấp,,
428,luck,may mắn,n,
429,luggage,hành lý,n,
430,lunch,bữa trưa,n,
431,magazine,tạp chí,n,
432,mail,thư,n,
433,major,"chuyên đề, ngành",n,
434,majority,đa số,,
435,make,làm,v,
436,make up,trang điểm,"v, n",
437,male,phái nam,n,
438,mall,khu mua sắm,n,
439,man,"đàn ông, phái nam",n,
440,manager,quản lý,n,
441,many,nhiều,adj,
442,map,bản đồ,n,
443,March,tháng 3,n,
444,market,chợ,n,
445,marry,cưới,v,
446,match,"diêm, trận đấu","v, n",
447,matter,"vấn đề, vật chất",n,
448,May,tháng 5,n,
449,maybe,có lẽ,,
450,mean,"có nghĩa, ăn hiếp","v, adj",
451,meat,thịt,n,
452,meeting,buổi họp,n,
453,meet,gặp,v,
454,menu,thực đơn,n,
455,metal,kim lọai,n,
456,Mexican,người Mexico,n,
457,microphone,micro,n,
458,microwave,lò vi sóng,n,
459,middle,ở giữa,adj,
460,might,có thể,,
461,mile,"dặm, 1mile = 1.6km",n,
462,milk,"vắt sữa, sữa","v, n",
463,mind,tâm trí,n,
464,minute,phút,n,
465,mirror,gương,n,
466,mistake,lỗi,n,
467,modern,hiện đại,adj,
468,money,tiền,n,
469,moon,mặt trăng,n,
470,more,hơn,,
471,most,phần lớn,,
472,motocycle,xe gắn máy,n,
473,mountain,núi,n,
474,mouth,miệng,n,
475,move,di chuyển,"v, n",
476,much,nhiều,,
477,muscle,cơ bắp,n,
478,museum,nhà bảo tàng,n,
479,Muslim,Hồi giáo,n,
480,must,phải,,
481,napkin,khăn ăn,n,
482,narrow,hẹp,adj,
483,natural,tự nhiên,,
484,nature,thiên nhiên,n,
485,near,gần,,
486,nearby,gần đây,,
487,neck,cổ,n,
488,necessary,cần thiết,,
489,necklace,vòng đeo cổ,n,
490,need,cần,"v, n",
491,neighbor,hàng xóm,n,
492,newspaper,tờ báo,n,
493,next,kế tiếp,,
494,nice,tốt,adj,
495,night,đêm,n,
496,nighttime,thời gian giữa đêm,n,
